灿然一笑	粲然一笑
沉缅酒色	沉湎酒色
哀声叹气	唉声叹气
弱不经风	弱不禁风
飞扬拔扈	飞扬跋扈
既往不究	既往不咎
桀傲不驯	桀骜不驯
不径而走	不胫而走
甘败下风	甘拜下风
万事具备	万事俱备
略见一般	略见一斑
同仇敌慨	同仇敌忾
奴颜卑膝	奴颜婢膝
不落桌日	不落窠日
再接再励	再接再厉
陈词烂调	陈词滥调
病入膏直	病入膏肓
精神矍烁	精神矍铄
融汇贯通	融会贯通
针贬时弊	针砭时弊
负籍从师	负笈从师
挺而走险	铤而走险
迫不急待	迫不及待
寥廖无几	寥寥无几
汗流夹背	汗流浃背
万古常青	万古长青
心胸偏狭	心胸褊狭
凭心而论	平心而论
一愁莫展	一筹莫展
靡糜之音	靡靡之音
相形见拙	相形见绌
好景不常	好景不长
关怀倍至	关怀备至
粗制乱造	粗制滥造
并行不背	并行不悖
同等学万	同等学力
金壁辉煌	金碧辉煌
联锁反应	连锁反应
完壁归赵	完璧归赵
变本加利	变本加厉
原形必露	原形毕露
留芳百世	流芳百世
辩证施治	辨证施治
明辩是非	明辨是非
按步就班	按部就班
战略布署	战略部署
迷天大谎	弥天大谎
兴高彩烈	兴高采烈
温情脉默	温情脉脉
听信馋言	听信谗言
唯唯诺喏	唯唯诺诺
如法泡制	如法炮制
浮想联篇	浮想联翩
墨守陈规	墨守成规
大气晚成	大器晚成
以逸代劳	以逸待劳
委屈求全	委曲求全
责无旁代	责无旁贷
声名省起	声名鹊起
虎视眈耽	虎视眈眈
惮精竭虑	殚精竭虑
望而怯步	望而却步
大名鼎顶	大名鼎鼎
举一返三	举一反三
雍荣华贵	雍容华贵
水乳交溶	水乳交融
成绩裴然	成绩斐然
矫糅造作	矫揉造作
愤发图强	奋发图强
深负众望	深孚众望
姗跚来迟	姗姗来迟
卑恭屈膝	卑躬屈膝
稍安毋躁	少安毋躁
全神灌注	全神贯注
舍身取义	舍生取义
随声附合	随声附和
手屈一指	首屈一指
招工启示	招工启事
轰堂大笑	哄堂大笑
各书己见	各抒己见
变换莫测	变幻莫测
如火如茶	如火如荼
精减机构	精简机构
不加思索	不假思索
趋之若骛	趋之若鹜
好高鹜远	好高骛远
脱化变质	蜕化变质
直接了当	直截了当
任人为贤	任人唯贤
纹过饰非	文过饰非
禁若寒蝉	噤若寒蝉
气势汹凶	气势汹汹
锦秀河山	锦绣河山
以老卖者	倚老卖者
世外桃园	世外桃源
渊远流长	源远流长
敲榨勒索	敲诈勒索
滥李充数	滥竽充数
不醒人事	不省人事
消声匿迹	销声匿迹
别出新裁	别出心裁
遗笑大方	贻笑大方
不能自己	不能自已
芸纭众生	芸芸众生
蜂涌而出	蜂拥而出
集掖成裘	集腋成裘
九宵云外	九霄云外
浅尝则止	浅尝辄止
栩诩如生	栩栩如生
旁证博引	旁征博引
层峦叠障	层峦叠嶂
各行其享	各行其是
明火执杖	明火执仗
误入岐途	误入歧途
共商国事	共商国是
引亢高歌	引吭高歌
带罪立功	戴罪立功
合盘托出	和盘托出
仗义直言	仗义执言
惴喘不安	惴惴不安
学以至用	学以致用
卷秩浩繁	卷帙浩繁
高瞻远嘱	高瞻远瞩
脍负人口	脍炙人口
养德业	养殖业
一柱香	一炷香
辨证法	辩证法
一雾那	一刹那
挖墙角	挖墙脚
凑分子	凑份子
笑眯咪	笑眯眯
棉蛉虫	棉铃虫
炭酸钙	碳酸钙
高品味	高品位
水蒸汽	水蒸气
一阙词	一阕词
一滩泥	一摊泥
爆发户	暴发户
莹光屏	荧光屏
麦绣病	麦锈病
爆羊肉	炮羊肉
检查院	检察院
主弦律	主旋律
百纳本	百衲本
璀灿	璀璨
陷井	陷阱
暮蔼	暮霭
暗然	黯然
勘舆	堪舆
谌探	勘探
堪乱	戡乱
惊咤	惊诧
凋蔽	凋敝
家俱	家具
针炙	针灸
辩析	辨析
重伏	蛰伏
赢弱	羸弱
黄蓬	黄连
河又	河汊
窜门	串门
松驰	松弛
了望	瞪望
马蹬	马镫
精萃	精粹
缭草	潦草
通谍	通牒
纱绽	纱锭
冒然	贸然
渡假	度假
度河	渡河
怄呕	怄气
暮茄	番茄
麻疯	麻风
凭添	平添
床第	床笫
份量	分量
辈份	辈分
神祗	神衹
膨涨	膨胀
吱唔	支吾
发韧	发轫
沙轮	砂轮
杂操	杂糅
编篡	编纂
刹时	霎时
内哄	内讧
竹杆	竹竿
麦杆	麦秆
引伸	引申
坩锅	坩埚
后补	候补
慧星	彗星
魁武	魁梧
急待	亟待
浑号	诨号
循私	徇私
排泻	排泄
膺品	赝品
蕴育	孕育
